fips_code,city,state
1003,Daphne,Alabama
1003,Orange Beach,Alabama
1015,Jacksonville,Alabama
1031,Enterprise,Alabama
1033,Muscle Shoals,Alabama
1039,Andalusia,Alabama
1043,Hanceville,Alabama
1045,Dothan,Alabama
1047,Selma,Alabama
1051,Deatsville,Alabama
1053,Brewton,Alabama
1055,Gadsden,Alabama
1071,Rainsville,Alabama
1073,Bessemer,Alabama
1073,Birmingham,Alabama
1073,Fairfield,Alabama
1077,Florence,Alabama
1081,Auburn University,Alabama
1083,Athens,Alabama
1083,Tanner,Alabama
1089,Huntsville,Alabama
1095,Boaz,Alabama
1097,Mobile,Alabama
1099,Monroeville,Alabama
1101,Montgomery,Alabama
1105,Marion,Alabama
1109,Troy,Alabama
1111,Wadley,Alabama
1113,Phenix City,Alabama
1117,Montevallo,Alabama
1119,Livingston,Alabama
1121,Talladega,Alabama
1123,Alexander City,Alabama
1125,Tuscaloosa,Alabama
1127,Jasper,Alabama
2020,Anchorage,Alaska
2090,Fairbanks,Alaska
2110,Juneau,Alaska
2122,Soldotna,Alaska
2170,Palmer,Alaska
2185,Barrow,Alaska
2261,Valdez,Alaska
4003,Douglas,Arizona
4005,Flagstaff,Arizona
4009,Thatcher,Arizona
4013,Avondale,Arizona
4013,Chandler,Arizona
4013,Glendale,Arizona
4013,Mesa,Arizona
4013,Phoenix,Arizona
4013,Scottsdale,Arizona
4013,"Suite B-104""",Tempe
4013,Tempe,Arizona
4015,Kingman,Arizona
4017,Holbrook,Arizona
4019,Tucson,Arizona
4021,Coolidge,Arizona
4025,Prescott,Arizona
4025,Prescott Valley,Arizona
4027,Yuma,Arizona
5005,Mountain Home,Arkansas
5007,Bentonville,Arkansas
5007,Rogers,Arkansas
5007,Siloam Springs,Arkansas
5007,Springdale,Arkansas
5009,Harrison,Arkansas
5013,Camden,Arkansas
5019,Arkadelphia,Arkansas
5027,Magnolia,Arkansas
5029,Morrilton,Arkansas
5031,Jonesboro,Arkansas
5035,West Memphis,Arkansas
5043,Monticello,Arkansas
5045,Conway,Arkansas
5051,Hot Springs,Arkansas
5055,Paragould,Arkansas
5057,Hope,Arkansas
5059,Malvern,Arkansas
5063,Batesville,Arkansas
5065,Melbourne,Arkansas
5067,Newport,Arkansas
5069,Pine Bluff,Arkansas
5071,Clarksville,Arkansas
5075,Walnut Ridge,Arkansas
5093,Blytheville,Arkansas
5107,Helena,Arkansas
5113,Mena,Arkansas
5115,Russellville,Arkansas
5119,Little Rock,Arkansas
5119,N Little Rock,Arkansas
5119,North Little Rock,Arkansas
5121,Pocahontas,Arkansas
5123,Forrest City,Arkansas
5131,Fort Smith,Arkansas
5133,De Queen,Arkansas
5139,El Dorado,Arkansas
5143,Fayetteville,Arkansas
5145,Beebe,Arkansas
5145,Searcy,Arkansas
6001,Alameda,California
6001,Berkeley,California
6001,Emeryville,California
6001,Fremont,California
6001,Hayward,California
6001,Livermore,California
6001,Oakland,California
6007,Chico,California
6007,Oroville,California
6013,Antioch,California
6013,Concord,California
6013,Martinez,California
6013,Moraga,California
6013,Pittsburg,California
6013,Pleasant Hill,California
6013,San Pablo,California
6017,South Lake Tahoe,California
6019,Clovis,California
6019,Coalinga,California
6019,Fresno,California
6019,Reedley,California
6023,Arcata,California
6023,Blue Lake,California
6023,Eureka,California
6025,Calexico,California
6025,Imperial,California
6029,Bakersfield,California
6029,Ridgecrest,California
6029,Taft,California
6031,Lemoore,California
6035,Susanville,California
6037,Azusa,California
6037,Beverly Hills,California
6037,Burbank,California
6037,Carson,California
6037,Cerritos,California
6037,Chatsworth,California
6037,City of Industry,California
6037,Claremont,California
6037,Commerce,California
6037,Compton,California
6037,Culver City,California
6037,Downey,California
6037,Duarte,California
6037,Glendora,California
6037,Hollywood,California
6037,Huntington Park,California
6037,Inglewood,California
6037,Irwindale,California
6037,La Mirada,California
6037,La Verne,California
6037,Lancaster,California
6037,Long Beach,California
6037,Los Angeles,California
6037,Malibu,California
6037,Monrovia,California
6037,Monterey Park,California
6037,North Hollywood,California
6037,Northridge,California
6037,Norwalk,California
6037,Pasadena,California
6037,Pomona,California
6037,Rancho Palos Verdes,California
6037,Reseda,California
6037,Rosemead,California
6037,San Dimas,California
6037,Santa Clarita,California
6037,Santa Monica,California
6037,Signal Hill,California
6037,South Gate,California
6037,Sylmar,California
6037,Tarzana,California
6037,Torrance,California
6037,Valencia,California
6037,Valley Glen,California
6037,Van Nuys,California
6037,Walnut,California
6037,Whittier,California
6037,Wilmington,California
6037,Woodland Hills,California
6041,Kentfield,California
6041,San Anselmo,California
6041,San Rafael,California
6045,Ukiah,California
6047,Merced,California
6053,Monterey,California
6053,Salinas,California
6053,Seaside,California
6055,Angwin,California
6055,Napa,California
6059,Aliso Viejo,California
6059,Anaheim,California
6059,Costa Mesa,California
6059,Cypress,California
6059,Fountain Valley,California
6059,Fullerton,California
6059,Huntington Beach,California
6059,Irvine,California
6059,Laguna Beach,California
6059,Laguna Hills,California
6059,Mission Viejo,California
6059,Newport Beach,California
6059,Orange,California
6059,Santa Ana,California
6061,Rocklin,California
6061,Roseville,California
6063,Quincy,California
6065,Blythe,California
6065,Cathedral City,California
6065,Corona,California
6065,Moreno Valley,California
6065,Murrieta,California
6065,Norco,California
6065,Palm Desert,California
6065,Palm Springs,California
6065,Riverside,California
6065,San Jacinto,California
6065,Temecula,California
6067,Folsom,California
6067,Gold River,California
6067,Rancho Cordova,California
6067,Sacramento,California
6071,Barstow,California
6071,Hesperia,California
6071,Joshua Tree,California
6071,Loma Linda,California
6071,Ontario,California
6071,Rancho Cucamonga,California
6071,Redlands,California
6071,San Bernardino,California
6071,Upland,California
6071,Victorville,California
6071,Yucaipa,California
6073,Chula Vista,California
6073,El Cajon,California
6073,Escondido,California
6073,La Jolla,California
6073,Majuro,Marshall Islands
6073,National City,California
6073,Oceanside,California
6073,Poway,California
6073,San Diego,California
6073,San Marcos,California
6073,Vista,California
6075,San Francisco,California
6077,Lathrop,California
6077,Stockton,California
6079,San Luis Obispo,California
6081,Atherton,California
6081,Belmont,California
6081,Redwood City,California
6081,San Bruno,California
6081,San Mateo,California
6083,Carpinteria,California
6083,Santa Barbara,California
6083,Santa Maria,California
6085,Cupertino,California
6085,Gilroy,California
6085,Los Altos Hills,California
6085,Milpitas,California
6085,Palo Alto,California
6085,San Jose,California
6085,Santa Clara,California
6085,Saratoga,California
6085,Sunnyvale,California
6087,Aptos,California
6087,Santa Cruz,California
6089,Redding,California
6093,Weed,California
6095,Fairfield,California
6095,Vallejo,California
6097,Rohnert Park,California
6097,Santa Rosa,California
6099,Modesto,California
6099,Salida,California
6099,Turlock,California
6101,Yuba City,California
6107,Porterville,California
6107,Visalia,California
6109,Sonora,California
6111,Camarillo,California
6111,Moorpark,California
6111,Oxnard,California
6111,Thousand Oaks,California
6111,Ventura,California
6113,Davis,California
6113,West Sacramento,California
6113,Woodland,California
6115,Marysville,California
8001,Thornton,Colorado
8001,Westminster,Colorado
8003,Alamosa,Colorado
8005,Aurora,Colorado
8005,Centennial,Colorado
8005,Denver,Colorado
8005,Greenwood Village,Colorado
8005,Littleton,Colorado
8013,Boulder,Colorado
8013,Longmont,Colorado
8014,Broomfield,Colorado
8035,Lone Tree,Colorado
8035,Parker,Colorado
8041,Colorado Springs,Colorado
8045,Glenwood Springs,Colorado
8051,Gunnison,Colorado
8059,Golden,Colorado
8059,Lakewood,Colorado
8067,Durango,Colorado
8069,Fort Collins,Colorado
8071,Trinidad,Colorado
8075,Sterling,Colorado
8077,Grand Junction,Colorado
8087,Fort  Morgan,Colorado
8089,La Junta,Colorado
8099,Lamar,Colorado
8101,Pueblo,Colorado
8103,Rangely,Colorado
8119,Woodland Park,Colorado
8123,Greeley,Colorado
9001,Bridgeport,Connecticut
9001,Danbury,Connecticut
9001,Fairfield,Connecticut
9001,Norwalk,Connecticut
9001,Stamford,Connecticut
9001,Stratford,Connecticut
9003,East Hartford,Connecticut
9003,East Windsor,Connecticut
9003,Enfield,Connecticut
9003,Farmington,Connecticut
9003,Hartford,Connecticut
9003,Manchester,Connecticut
9003,New Britain,Connecticut
9003,Southington,Connecticut
9003,Suffield,Connecticut
9003,West Hartford,Connecticut
9005,Winsted,Connecticut
9007,Cromwell,Connecticut
9007,Middletown,Connecticut
9009,Hamden,Connecticut
9009,New Haven,Connecticut
9009,Waterbury,Connecticut
9009,West Haven,Connecticut
9011,Groton,Connecticut
9011,New London,Connecticut
9011,Norwich,Connecticut
9011,Old Lyme,Connecticut
9013,Storrs,Connecticut
9015,Danielson,Connecticut
9015,Willimantic,Connecticut
10001,Dover,Delaware
10003,New Castle,Delaware
10003,Newark,Delaware
10003,Wilmington,Delaware
10005,Lewes,Delaware
11001,Washington,District of Columbia
12001,Gainesville,Florida
12005,Panama City,Florida
12007,Starke,Florida
12009,Cocoa,Florida
12009,Melbourne,Florida
12011,Coconut Creek,Florida
12011,Davie,Florida
12011,Deerfield Beach,Florida
12011,Fort Lauderdale,Florida
12011,Hollywood,Florida
12011,Lauderhill,Florida
12011,Miramar,Florida
12011,Pembroke Pines,Florida
12011,Plantation,Florida
12011,Pompano Beach,Florida
12011,Weston,Florida
12015,Port Charlotte,Florida
12017,Inverness,Florida
12019,Orange Park,Florida
12021,Ave Maria,Florida
12021,Immokalee,Florida
12021,Naples,Florida
12023,Lake City,Florida
12031,Jacksonville,Florida
12033,Pensacola,Florida
12055,Avon Park,Florida
12057,Tampa,Florida
12057,Temple Terrace,Florida
12063,Graceville,Florida
12063,Marianna,Florida
12069,Eustis,Florida
12069,Leesburg,Florida
12071,Fort Myers,Florida
12073,Tallahassee,Florida
12079,Madison,Florida
12081,Bradenton,Florida
12083,Belleview,Florida
12083,Ocala,Florida
12085,Hobe Sound,Florida
12086,Coral Gables,Florida
12086,Cutler Bay,Florida
12086,Hialeah,Florida
12086,Homestead,Florida
12086,Miami,Florida
12086,Miami Beach,Florida
12086,Miami Gardens,Florida
12086,Miami Lakes,Florida
12086,North Miami,Florida
12087,Key West,Florida
12091,Fort Walton Beach,Florida
12091,Niceville,Florida
12095,Orlando,Florida
12095,Winter Garden,Florida
12095,Winter Park,Florida
12097,Celebration,Florida
12097,Kissimmee,Florida
12099,Boca Raton,Florida
12099,Boynton Beach,Florida
12099,Delray Beach,Florida
12099,Lake Worth,Florida
12099,Royal Palm Beach,Florida
12099,West Palm Beach,Florida
12101,New Port Richey,Florida
12101,Saint Leo,Florida
12101,Trinity,Florida
12103,Clearwater,Florida
12103,Largo,Florida
12103,Palm Harbor,Florida
12103,Saint Petersburg,Florida
12103,St. Petersburg,Florida
12105,Babson Park,Florida
12105,Lake Wales,Florida
12105,Lakeland,Florida
12105,Winter Haven,Florida
12107,Palatka,Florida
12109,Saint Augustine,Florida
12111,Fort Pierce,Florida
12111,Port Saint Lucie,Florida
12113,Milton,Florida
12115,Sarasota,Florida
12117,Altamonte Springs,Florida
12117,Apopka,Florida
12117,Casselberry,Florida
12117,Fern Park,Florida
12117,Heathrow,Florida
12117,Lake Mary,Florida
12117,Sanford,Florida
12127,Daytona Beach,Florida
12127,DeLand,Florida
12127,Ormond Beach,Florida
12131,DeFuniak Springs,Florida
12133,Chipley,Florida
13009,Milledgeville,Georgia
13021,Macon,Georgia
13023,Cochran,Georgia
13031,Statesboro,Georgia
13045,Carrollton,Georgia
13051,Savannah,Georgia
13057,Waleska,Georgia
13059,Athens,Georgia
13063,Morrow,Georgia
13067,Kennesaw,Georgia
13067,Marietta,Georgia
13067,Smyrna,Georgia
13069,Douglas,Georgia
13071,Moultrie,Georgia
13087,Bainbridge,Georgia
13089,Chamblee,Georgia
13089,Clarkston,Georgia
13089,Decatur,Georgia
13089,Lithonia,Georgia
13089,Tucker,Georgia
13095,Albany,Georgia
13097,Douglasville,Georgia
13107,Swainsboro,Georgia
13115,Mount Berry,Georgia
13115,Rome,Georgia
13119,Franklin Springs,Georgia
13121,Atlanta,Georgia
13121,Sandy Springs,Georgia
13127,Brunswick,Georgia
13135,Duluth,Georgia
13135,Lawrenceville,Georgia
13135,Lilburn,Georgia
13135,Norcross,Georgia
13137,Clarkesville,Georgia
13137,Demorest,Georgia
13139,Gainesville,Georgia
13139,Oakwood,Georgia
13143,Waco,Georgia
13153,Warner Robins,Georgia
13171,Barnesville,Georgia
13185,Valdosta,Georgia
13187,Dahlonega,Georgia
13209,Mount Vernon,Georgia
13215,Columbus,Georgia
13225,Fort Valley,Georgia
13243,Cuthbert,Georgia
13245,Augusta,Georgia
13255,Griffin,Georgia
13257,Toccoa Falls,Georgia
13261,Americus,Georgia
13275,Thomasville,Georgia
13277,Tifton,Georgia
13279,Vidalia,Georgia
13281,Young Harris,Georgia
13285,Lagrange,Georgia
13285,West Point,Georgia
13295,Lookout Mountain,Georgia
13299,Waycross,Georgia
13303,Sandersville,Georgia
13305,Jesup,Georgia
13311,Cleveland,Georgia
13313,Dalton,Georgia
15001,Hilo,Hawaii
15003,Honolulu,Hawaii
15003,Kaneohe,Hawaii
15003,Kapolei,Hawaii
15003,Laie,Hawaii
15003,Pearl City,Hawaii
15007,Lihue,Hawaii
15009,Kahului,Hawaii
16001,Boise,Idaho
16001,Meridian,Idaho
16005,Chubbuck,Idaho
16005,Pocatello,Idaho
16019,Idaho Falls,Idaho
16027,Caldwell,Idaho
16027,Nampa,Idaho
16031,Burley,Idaho
16053,Jerome,Idaho
16055,Coeur D Alene,Idaho
16055,Coeur d'Alene,Idaho
16057,Moscow,Idaho
16065,Rexburg,Idaho
16069,Lewiston,Idaho
16083,Twin Falls,Idaho
17001,Quincy,Illinois
17005,Greenville,Illinois
17019,Champaign,Illinois
17029,Charleston,Illinois
17029,Mattoon,Illinois
17031,Bedford Park,Illinois
17031,Bridgeview,Illinois
17031,Calumet City,Illinois
17031,Chicago,Illinois
17031,Chicago Heights,Illinois
17031,Cicero,Illinois
17031,Des Plaines,Illinois
17031,Evanston,Illinois
17031,Hillside,Illinois
17031,Hoffman Estates,Illinois
17031,Melrose Park,Illinois
17031,Mount Prospect,Illinois
17031,Palatine,Illinois
17031,Palos Heights,Illinois
17031,Palos Hills,Illinois
17031,River Forest,Illinois
17031,River Grove,Illinois
17031,Schaumburg,Illinois
17031,Skokie,Illinois
17031,South Holland,Illinois
17031,Wheeling,Illinois
17033,Robinson,Illinois
17037,Dekalb,Illinois
17037,Malta,Illinois
17043,Addison,Illinois
17043,Downers Grove,Illinois
17043,Elmhurst,Illinois
17043,Glen Ellyn,Illinois
17043,Glendale Heights,Illinois
17043,Lisle,Illinois
17043,Lombard,Illinois
17043,Naperville,Illinois
17043,Wheaton,Illinois
17043,Woodridge,Illinois
17057,Canton,Illinois
17077,Carbondale,Illinois
17081,Ina,Illinois
17083,Elsah,Illinois
17089,Aurora,Illinois
17089,Elgin,Illinois
17089,Sugar Grove,Illinois
17089,West Dundee,Illinois
17091,Bourbonnais,Illinois
17091,Kankakee,Illinois
17095,Galesburg,Illinois
17097,Deerfield,Illinois
17097,Grayslake,Illinois
17097,Lake Forest,Illinois
17097,Mundelein,Illinois
17097,North Chicago,Illinois
17099,Oglesby,Illinois
17103,Dixon,Illinois
17107,Lincoln,Illinois
17109,Macomb,Illinois
17111,Crystal Lake,Illinois
17113,Bloomington,Illinois
17113,Normal,Illinois
17115,Decatur,Illinois
17117,Carlinville,Illinois
17119,Collinsville,Illinois
17119,Edwardsville,Illinois
17119,Godfrey,Illinois
17121,Centralia,Illinois
17137,Jacksonville,Illinois
17143,Peoria,Illinois
17153,Ullin,Illinois
17159,Olney,Illinois
17161,Moline,Illinois
17161,Rock Island,Illinois
17163,Belleville,Illinois
17163,Fairview Heights,Illinois
17163,Lebanon,Illinois
17165,Harrisburg,Illinois
17167,Springfield,Illinois
17177,Freeport,Illinois
17179,East Peoria,Illinois
17183,Danville,Illinois
17185,Mount Carmel,Illinois
17187,Monmouth,Illinois
17191,Fairfield,Illinois
17195,Morrison,Illinois
17197,Joliet,Illinois
17197,Orland Park,Illinois
17197,Romeoville,Illinois
17197,Tinley Park,Illinois
17197,University Park,Illinois
17199,Carterville,Illinois
17201,Rockford,Illinois
17203,Eureka,Illinois
18003,Fort Wayne,Indiana
18019,Clarksville,Indiana
18019,Jeffersonville,Indiana
18035,Muncie,Indiana
18039,Elkhart,Indiana
18039,Goshen,Indiana
18043,New Albany,Indiana
18051,Oakland City,Indiana
18053,Marion,Indiana
18053,Upland,Indiana
18057,Carmel,Indiana
18067,Kokomo,Indiana
18069,Huntington,Indiana
18073,Rensselaer,Indiana
18077,Hanover,Indiana
18081,Franklin,Indiana
18081,Greenwood,Indiana
18083,Vincennes,Indiana
18085,Winona Lake,Indiana
18089,Evergreen,Alabama
18089,Gary,Indiana
18089,Hammond,Indiana
18089,Merrillville,Indiana
18089,Whiting,Indiana
18091,Michigan City,Indiana
18091,Westville,Indiana
18095,Anderson,Indiana
18097,Indianapolis,Indiana
18099,Donaldson,Indiana
18105,Bloomington,Indiana
18107,Crawfordsville,Indiana
18127,Valparaiso,Indiana
18133,Greencastle,Indiana
18141,Mishawaka,Indiana
18141,Notre Dame,Indiana
18141,South Bend,Indiana
18147,St. Meinrad,Indiana
18151,Angola,Indiana
18157,Lafayette,Indiana
18157,West Lafayette,Indiana
18163,Evansville,Indiana
18167,Saint Mary of the Woods,Indiana
18167,Terre Haute,Indiana
18169,North Manchester,Indiana
18173,Newburgh,Indiana
18177,Richmond,Indiana
19013,Cedar Falls,Iowa
19013,Waterloo,Iowa
19017,Waverly,Iowa
19021,Storm Lake,Iowa
19033,Mason City,Iowa
19045,Clinton,Iowa
19049,West Des Moines,Iowa
19053,Lamoni,Iowa
19057,West Burlington,Iowa
19059,Spirit Lake,Iowa
19061,Dubuque,Iowa
19061,Epworth,Iowa
19063,Estherville,Iowa
19065,Fayette,Iowa
19083,Iowa Falls,Iowa
19087,Mount Pleasant,Iowa
19089,Cresco,Iowa
19101,Fairfield,Iowa
19103,Iowa City,Iowa
19111,Fort Madison,Iowa
19113,Cedar Rapids,Iowa
19113,Mount Vernon,Iowa
19123,Oskaloosa,Iowa
19125,Pella,Iowa
19127,Marshalltown,Iowa
19153,Ankeny,Iowa
19153,Des Moines,Iowa
19153,Johnston,Iowa
19153,Urbandale,Iowa
19155,Council Bluffs,Iowa
19157,Grinnell,Iowa
19163,Bettendorf,Iowa
19163,Davenport,Iowa
19167,Orange City,Iowa
19167,Sheldon,Iowa
19167,Sioux Center,Iowa
19169,Ames,Iowa
19175,Creston,Iowa
19179,Ottumwa,Iowa
19181,Indianola,Iowa
19183,Kalona,Iowa
19187,Fort Dodge,Iowa
19189,Forest City,Iowa
19191,Calmar,Iowa
19191,Decorah,Iowa
19193,Sioux City,Iowa
20001,Iola,Kansas
20005,Atchison,Kansas
20009,Great Bend,Kansas
20011,Fort Scott,Kansas
20015,El Dorado,Kansas
20029,Concordia,Kansas
20035,Arkansas City,Kansas
20037,Pittsburg,Kansas
20045,Baldwin City,Kansas
20045,Lawrence,Kansas
20051,Hays,Kansas
20055,Garden City,Kansas
20057,Dodge City,Kansas
20059,Ottawa,Kansas
20079,Hesston,Kansas
20079,North Newton,Kansas
20091,Leawood,Kansas
20091,Lenexa,Kansas
20091,Olathe,Kansas
20091,Overland Park,Kansas
20091,Shawnee,Kansas
20097,Haviland,Kansas
20099,Parsons,Kansas
20103,Leavenworth,Kansas
20111,Emporia,Kansas
20113,Lindsborg,Kansas
20113,McPherson,Kansas
20115,Hillsboro,Kansas
20123,Beloit,Kansas
20125,Coffeyville,Kansas
20125,Independence,Kansas
20133,Chanute,Kansas
20151,Pratt,Kansas
20155,Hutchinson,Kansas
20159,Sterling,Kansas
20161,Manhattan,Kansas
20169,Salina,Kansas
20173,Wichita,Kansas
20175,Liberal,Kansas
20177,Topeka,Kansas
20181,Goodland,Kansas
20193,Colby,Kansas
20209,Kansas City,Kansas
21001,Columbia,Kentucky
21003,Scottsville,Kentucky
21009,Glasgow,Kentucky
21013,Middlesboro,Kentucky
21013,Pineville,Kentucky
21015,Florence,Kentucky
21019,Ashland,Kentucky
21021,Danville,Kentucky
21025,Vancleve,Kentucky
21035,Murray,Kentucky
21037,Bellevue,Kentucky
21037,Highland Heights,Kentucky
21037,Newport,Kentucky
21043,Grayson,Kentucky
21047,Hopkinsville,Kentucky
21051,Manchester,Kentucky
21059,Owensboro,Kentucky
21067,Lexington,Kentucky
21071,Prestonsburg,Kentucky
21073,Frankfort,Kentucky
21083,Mayfield,Kentucky
21089,Russell,Kentucky
21093,Elizabethtown,Kentucky
21095,Cumberland,Kentucky
21095,Harlan,Kentucky
21101,Henderson,Kentucky
21107,Madisonville,Kentucky
21111,Louisville,Kentucky
21113,Nicholasville,Kentucky
21113,Wilmore,Kentucky
21117,Crestview Hills,Kentucky
21117,Fort Mitchell,Kentucky
21119,Pippa Passes,Kentucky
21121,Barbourville,Kentucky
21131,Hyden,Kentucky
21145,Paducah,Kentucky
21151,Berea,Kentucky
21151,Richmond,Kentucky
21161,Maysville,Kentucky
21173,Mount Sterling,Kentucky
21193,Hazard,Kentucky
21195,Pikeville,Kentucky
21195,South Williamson,Kentucky
21199,Somerset,Kentucky
21205,Morehead,Kentucky
21209,Georgetown,Kentucky
21217,Campbellsville,Kentucky
21227,Bowling Green,Kentucky
21229,Saint Catharine,Kentucky
21235,Williamsburg,Kentucky
21239,Midway,Kentucky
21239,Versailles,Kentucky
22001,Eunice,Louisiana
